P1,P2,cluster
-0.5841645374510556,-0.14360386480393436,2
-0.5842141020787746,-0.14342234036914678,2
-0.5842322430529587,-0.14335562299667778,2
-0.5879377254949205,-0.11443904027752459,2
-0.5885726742274522,-0.11525440448058545,2
-0.5879789077437303,-0.08965693924900027,2
-0.5845192838001779,-0.14261607445467406,2
-0.5845010600400987,-0.14263608681902046,2
-0.5852435753668216,-0.04885459975757454,2
-0.5843570548197756,-0.14289246681671722,2
-0.584367516219976,-0.1428533124191778,2
-0.5844210572992621,-0.14265209484309457,2
-0.5815923197862509,-0.011019531756448875,2
-0.5850840481040652,-0.14080298829614077,2
-0.4739930556234417,0.18153586936725613,2
-0.584634423808818,-0.14183600706638946,2
-0.5846677046895511,-0.14174160956937448,2
-0.5919023201194208,-0.07724540506146693,2
-0.5849017491533277,-0.1411470091139235,2
-0.5847091923549291,-0.1415444189424619,2
-0.5685429054787745,0.008303230712476142,2
-0.5546896255691689,-0.03409022221713713,2
-0.5847911893540217,-0.14129365439466854,2
-0.5785599183507378,-0.04046987686495343,2
-0.5850094720657973,-0.14056647363920793,2
-0.5892100582508059,-0.08709773681539507,2
-0.5848890155136639,-0.14083046295636728,2
-0.5849827990201587,-0.14052889698178658,2
-0.5873197156208906,-0.12755513212069292,2
-0.5851260721546041,-0.1401659049320514,2
-0.5890262654660676,-0.1060988555159783,2
-0.5888388561604663,-0.11460180645166566,2
-0.5897668260431106,-0.08881901025525972,2
-0.5922118535174395,-0.07798393167263061,2
-0.5903535736479804,-0.10904221923363883,2
-0.5850484688502764,-0.14018155272156027,2
-0.5661659650659793,0.02229540981335394,2
-0.5850820266655054,-0.1400429908719547,2
-0.5814510336506501,-0.00419314602365982,2
-0.5901947868679943,-0.11623641680526148,2
-0.5857170446175326,-0.042964737350197436,2
-0.5853104765881841,-0.13941001867768105,2
-0.5898106335079442,-0.04409252876358906,2
-0.5851588315017867,-0.13972314641695618,2
-0.5852112452916796,-0.13958831541509575,2
-0.5889898516472708,-0.11234504322399813,2
-0.5620550022687222,0.03569428210292446,2
-0.5907208839677379,-0.09603192126848045,2
-0.5859229526252399,-0.13766956561717014,2
