ID Contratos que utilizan banca movil,ID Sucursales banca comercial,ID Terminales punto de venta,ID Establecimientos con TPV,Cable coaxial,DSL,Creditos bienestar,c,estado,municipio
3085.555105,1.047015645,35.59853192,35.59853192,0,0,52,0,Oaxaca,San Francisco Telixtlahuaca
3089.126932,0.880846003,29.36153343,18.49776606,0,0,163,0,Tabasco,Jalpa de Méndez
3089.570906,0.469478495,38.83257835,31.32092244,0,0,1703,2,Nuevo León,García
3098.900282,1.442187449,26.31992095,23.79609292,13095,18525,65,2,Jalisco,Tuxpan
3112.707594,1.095638013,34.2386879,26.29531231,0,2200,12,0,Hidalgo,Huichapan
3115.024895,1.154942724,61.06759654,51.53931907,0,0,47,0,Michoacán,Pátzcuaro
3124.352999,1.000849857,50.44283279,36.83127474,0,0,219,0,Colima,Tecomán
3125.286011,0,31.25286011,25.17591509,0,0,6,3,Chihuahua,Aquiles Serdán
3126.408025,2.466594103,720.245478,374.3056551,2363,1386,219,2,Quintana Roo,Isla Mujeres
3127.624398,1.65811764,291.4141752,60.10676444,0,0,77,2,Tamaulipas,Miguel Alemán
3128.293049,0.788777874,16.56433536,16.56433536,0,0,79,0,Tlaxcala,"Carmen Tequexquitla, El"
3131.142312,0.728681013,24.04647343,17.48834431,0,647,0,0,Hidalgo,Tasquillo
3137.997571,0,106.6966949,83.60561913,0,0,21,2,Oaxaca,San Jacinto Amilpas
3139.726195,3.337767039,20.02660223,15.57624618,1174,311,2,0,Michoacán,Huandacareo
3139.728626,0,19.9982715,19.9982715,0,0,0,3,Sonora,Huépac
3142.300582,0,33.33416459,33.33416459,0,1649,1,3,Puebla,Teteles de Avila Castillo
3143.718546,0,4.72739631,7.091094464,3009,1610,1,3,Sonora,Rosario
3146.115391,0.364007334,13.10426404,9.828198028,0,0,170,3,Chiapas,Huehuetán
3147.38524,1.141597838,29.6815438,28.53994596,0,705,43,0,Oaxaca,Chahuites
3154.320863,0.651091413,35.37596675,24.95850415,0,5446,243,2,Tamaulipas,San Fernando
3159.86265,0,9.119372727,9.119372727,0,0,12,3,Oaxaca,Ciénega de Zimatlán
3161.876593,0,2.900804214,2.900804214,0,0,44,3,Oaxaca,Santa María Mixtequilla
3162.266657,1.715205202,40.21203306,33.92294732,0,0,36,0,Jalisco,"Barca, La"
3163.697698,1.722342813,119.579801,67.29439419,0,0,2661,2,Veracruz,Martínez de la Torre
3164.186906,1.555647447,32.27968452,29.94621335,13095,18525,16,2,Nayarit,Tuxpan
3167.397833,1.463677372,41.7148051,34.76233758,3058,3550,6,0,Jalisco,Sayula
